molecule_chembl_id,canonical_smiles,standard_value,pIC50
CHEMBL5590835,O=C(NNC(=S)Nc1ccc(F)c(F)c1)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,3660.0,5.436518914605589
CHEMBL5583905,Cc1ccc(NC(=S)NNC(=O)c2cc3c([nH]c4ccccc43)c(-c3ccccc3)n2)c(C)c1,8510.0,5.070070439915412
CHEMBL5595072,Cc1ccc(C)c(NC(=S)NNC(=O)c2cc3c([nH]c4ccccc43)c(-c3ccccc3)n2)c1,4590.0,5.338187314462739
CHEMBL5595016,Cc1cccc(C)c1NC(=S)NNC(=O)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,10460.0,4.980468315468745
CHEMBL5589699,COc1ccc(NC(=S)NNC(=O)c2cc3c([nH]c4ccccc43)c(-c3ccccc3)n2)c(OC)c1,6880.0,5.162411561764489
CHEMBL5590184,COc1ccc(OC)c(NC(=S)NNC(=O)c2cc3c([nH]c4ccccc43)c(-c3ccccc3)n2)c1,5170.0,5.286509456906058
CHEMBL5592227,COc1ccc(NC(=S)NNC(=O)c2cc3c([nH]c4ccccc43)c(-c3ccccc3)n2)cc1OC,8300.0,5.080921907623926
CHEMBL5592116,COc1cc(NC(=S)NNC(=O)c2cc3c([nH]c4ccccc43)c(-c3ccccc3)n2)cc(OC)c1,5900.0,5.229147988357856
CHEMBL5592418,COc1cc(NC(=S)NNC(=O)c2cc3c([nH]c4ccccc43)c(-c3ccccc3)n2)cc(OC)c1OC,12250.0,4.911863911299449
CHEMBL404271,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,564280.0,3.2485053423288686
CHEMBL404271,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,42450.0,4.372122305420029
CHEMBL5420199,O=S(=O)(NCCc1c[nH]c2ccccc12)c1cc(F)ccc1Cl,1600.0,5.795880017344075
