Drug_Name,Affinity_kcal_mol
Moricizine,-9.2
Zolpidem,-9.2
Zuclopenthixol,-9.2
Colchicine,-9.1
Clorazepate,-9.1
Cloxacillin,-9.1
Pitavastatin,-9.1
Piroxicam,-9.1
Pipotiazine,-9.1
Fosphenytoin,-9.1
Dolasetron,-9.1
Sulfasalazine,-9.1
Remikiren,-9.1
Quetiapine,-9.1
Betamethasone,-9.1
Diphenoxylate,-9.1
Desonide,-9.1
Hydrocortisone,-9.1
Dasatinib,-9.1
Fulvestrant,-9.1
Ethinyl Estradiol,-9.1
Rivaroxaban,-9.1
Erythromycin,-9.1
Buclizine,-9.1
Carbamazepine,-9.1
Fexofenadine,-9.1
Losartan,-9.1
Cefamandole,-9.1
Droperidol,-9.1
Ouabain,-9.1
Fluorescein,-9.1
Fluticasone Propionate,-9.1
Raltitrexed,-9.1
Amlexanox,-9.1
Gefitinib,-9.1
Cabergoline,-9.1
Clocortolone,-9.1
Zopiclone,-9.1
Almitrine,-9.1
Meloxicam,-9.0
Quinapril,-9.0
Sitagliptin,-9.0
Oxandrolone,-9.0
Vismodegib,-9.0
Meclizine,-9.0
Rilpivirine,-9.0
Besifloxacin,-9.0
Torasemide,-9.0
Sitaxentan,-9.0
Lovastatin,-9.0
Anileridine,-9.0
Lansoprazole,-9.0
Fosinopril,-9.0
Nitrazepam,-9.0
Hydrocortamate,-9.0
Chlorhexidine,-9.0
Sildenafil,-9.0
Nalbuphine,-9.0
Cilostazol,-9.0
Trifluoperazine,-9.0
Chlorotrianisene,-9.0
Ticagrelor,-9.0
Terfenadine,-9.0
Temazepam,-9.0
Ixabepilone,-9.0
Prednisone,-9.0
Bendroflumethiazide,-9.0
Carfilzomib,-8.9
Atorvastatin,-8.9
Ketotifen,-8.9
Moxifloxacin,-8.9
Hetacillin,-8.9
Ofloxacin,-8.9
Granisetron,-8.9
Phenindione,-8.9
Lercanidipine,-8.9
Olanzapine,-8.9
Bosentan,-8.9
Grepafloxacin,-8.9
Methylprednisolone,-8.9
Oxcarbazepine,-8.9
Glisoxepide,-8.9
Levocabastine,-8.9
Indomethacin,-8.9
Benazepril,-8.9
Nabilone,-8.9
Nandrolone decanoate,-8.9
Thioproperazine,-8.9
Riboflavin,-8.9
Verteporfin,-8.9
Loteprednol,-8.9
Loxapine,-8.9
Papaverine,-8.9
Alclometasone,-8.9
Ajmaline,-8.9
Butorphanol,-8.9
Fluvastatin,-8.9
Atracurium,-8.9
Lorazepam,-8.8
Homoharringtonine,-8.8
Ramipril,-8.8
Sparfloxacin,-8.8
Sertraline,-8.8
Sertaconazole,-8.8
Levofloxacin,-8.8
Pergolide,-8.8
Flurazepam,-8.8
Forasartan,-8.8
Flunitrazepam,-8.8
Ardeparin,-8.8
Eletriptan,-8.8
Epinastine,-8.8
Loperamide,-8.8
Udenafil,-8.8
Rocuronium,-8.8
Allylestrenol,-8.8
Vinblastine,-8.8
Estramustine,-8.8
Trandolapril,-8.8
Budesonide,-8.8
Permethrin,-8.8
Dexamethasone,-8.8
Cyclothiazide,-8.8
Nedocromil,-8.8
Yohimbine,-8.8
Balsalazide,-8.8
Terconazole,-8.8
Dabigatran etexilate,-8.8
Indapamide,-8.8
Alprazolam,-8.8
Podofilox,-8.8
Amprenavir,-8.8
Dronabinol,-8.8
Calcidiol,-8.8
Ezetimibe,-8.8
Cinnarizine,-8.7
Rimexolone,-8.7
Estazolam,-8.7
Trazodone,-8.7
Candoxatril,-8.7
Vinorelbine,-8.7
Carprofen,-8.7
Tofisopam,-8.7
Rifapentine,-8.7
Butoconazole,-8.7
Fludiazepam,-8.7
Flecainide,-8.7
Tolnaftate,-8.7
Sunitinib,-8.7
Terazosin,-8.7
Cefotiam,-8.7
Propericiazine,-8.7
Dicumarol,-8.7
Ceftriaxone,-8.7
Valsartan,-8.7
Bosutinib,-8.7
Eszopiclone,-8.7
Butenafine,-8.7
Calcitriol,-8.7
Buspirone,-8.7
Fluphenazine,-8.7
Mesoridazine,-8.7
Enoxaparin,-8.7
Mianserin,-8.7
Halofantrine,-8.7
Chlorthalidone,-8.7
Cyclobenzaprine,-8.7
Prasugrel,-8.7
Prednisolone,-8.7
Acarbose,-8.7
Trilostane,-8.7
Cinalukast,-8.7
Alosetron,-8.7
Acitretin,-8.7
Testosterone,-8.7
Ketazolam,-8.7
Acetophenazine,-8.7
Bedaquiline,-8.7
Tretinoin,-8.7
Beclometasone dipropionate,-8.7
Cephalexin,-8.6
Ketoprofen,-8.6
Phenytoin,-8.6
Dantrolene,-8.6
Pioglitazone,-8.6
Isotretinoin,-8.6
Cilazapril,-8.6
Heroin,-8.6
Haloperidol,-8.6
Norethindrone,-8.6
Desoximetasone,-8.6
Ondansetron,-8.6
Halazepam,-8.6
Methyltestosterone,-8.6
Ceftazidime,-8.6
Cisapride,-8.6
Mebendazole,-8.6
Etonogestrel,-8.6
Rosoxacin,-8.6
Camazepam,-8.6
Oxyphencyclimine,-8.6
Fidaxomicin,-8.6
Aripiprazole,-8.6
Doxepin,-8.6
Trioxsalen,-8.6
Nortriptyline,-8.6
Norgestimate,-8.6
Simvastatin,-8.6
Pefloxacin,-8.6
Encainide,-8.6
Paroxetine,-8.6
Carphenazine,-8.6
Fosamprenavir,-8.6
Pentagastrin,-8.6
Adinazolam,-8.6
Tazarotene,-8.5
Olopatadine,-8.5
Prochlorperazine,-8.5
Amikacin,-8.5
Iloperidone,-8.5
Temsirolimus,-8.5
Azidocillin,-8.5
Cyproheptadine,-8.5
Micafungin,-8.5
Midazolam,-8.5
Mivacurium,-8.5
Ketorolac,-8.5
Trimetrexate,-8.5
Ceforanide,-8.5
Metixene,-8.5
Ceftibuten,-8.5
Phenindamine,-8.5
Bepotastine,-8.5
Mequitazine,-8.5
Bromfenac,-8.5
Quinidine,-8.5
Travoprost,-8.5
Pentazocine,-8.5
Lomefloxacin,-8.5
Fentanyl,-8.5
Acenocoumarol,-8.5
Warfarin,-8.4
Ximelagatran,-8.4
Alcaftadine,-8.4
Alitretinoin,-8.4
Vincristine,-8.4
Nateglinide,-8.4
Rosiglitazone,-8.4
Artemether,-8.4
Masoprocol,-8.4
Drotaverine,-8.4
Lucanthone,-8.4
Linezolid,-8.4
Carbenicillin,-8.4
Carbetocin,-8.4
Fenofibrate,-8.4
Etoricoxib,-8.4
Doxacurium chloride,-8.4
Bicalutamide,-8.4
Cefotetan,-8.4
Spirapril,-8.4
Octreotide,-8.4
Gestodene,-8.4
Diazepam,-8.4
Silodosin,-8.4
Flupenthixol,-8.4
Cefditoren,-8.4
Gatifloxacin,-8.4
Bopindolol,-8.4
Cefazolin,-8.4
Oxazepam,-8.4
Amitriptyline,-8.4
Thioridazine,-8.4
Josamycin,-8.4
Prednicarbate,-8.4
Ingenol Mebutate,-8.4
Triamterene,-8.4
Benzatropine,-8.4
Clonazepam,-8.4
Nefazodone,-8.4
Nicardipine,-8.4
Nitisinone,-8.4
Benzthiazide,-8.4
Pivampicillin,-8.4
Triflupromazine,-8.4
Quinine,-8.3
Streptomycin,-8.3
Triprolidine,-8.3
Diflunisal,-8.3
Roflumilast,-8.3
Cefmenoxime,-8.3
Clobazam,-8.3
Ospemifene,-8.3
Bezafibrate,-8.3
Gliclazide,-8.3
Cefotaxime,-8.3
Carvedilol,-8.3
Cefprozil,-8.3
Gentamicin,-8.3
Perphenazine,-8.3
Hesperetin,-8.3
Norelgestromin,-8.3
Diltiazem,-8.3
Gemifloxacin,-8.3
Loracarbef,-8.3
Tamoxifen,-8.3
Chlordiazepoxide,-8.3
Propantheline,-8.3
Lumefantrine,-8.3
Niflumic Acid,-8.3
Thalidomide,-8.3
Cetirizine,-8.3
Dapiprazole,-8.3
Delorazepam,-8.3
Mycophenolate mofetil,-8.3
Iloprost,-8.3
Iodixanol,-8.3
Pomalidomide,-8.3
Trimethaphan,-8.3
Indecainide,-8.3
Triamcinolone,-8.3
Eprosartan,-8.3
Ciprofloxacin,-8.3
Clidinium,-8.3
Naratriptan,-8.3
Arbutamine,-8.3
Arformoterol,-8.3
Arbekacin,-8.3
Ranolazine,-8.2
Griseofulvin,-8.2
Labetalol,-8.2
Norfloxacin,-8.2
Mitomycin,-8.2
Naftifine,-8.2
Benzquinamide,-8.2
Imipramine,-8.2
Pimecrolimus,-8.2
Pipazethate,-8.2
Icatibant,-8.2
Phenylbutazone,-8.2
Thiethylperazine,-8.2
Amodiaquine,-8.2
Cefepime,-8.2
Boceprevir,-8.2
Protriptyline,-8.2
Fenoldopam,-8.2
Flumazenil,-8.2
Trabectedin,-8.2
Esomeprazole,-8.2
Tolcapone,-8.2
Treprostinil,-8.2
Cinolazepam,-8.2
Vitamin A,-8.2
Bacampicillin,-8.2
Pivmecillinam,-8.2
Metrizamide,-8.2
Mepenzolate,-8.2
Anastrozole,-8.2
Nilutamide,-8.2
Minaprine,-8.2
Metolazone,-8.2
Zolmitriptan,-8.1
Mefenamic acid,-8.1
Alizapride,-8.1
Alfuzosin,-8.1
Repaglinide,-8.1
Amiodarone,-8.1
Trimipramine,-8.1
Flurbiprofen,-8.1
Saxagliptin,-8.1
Dronedarone,-8.1
Toremifene,-8.1
Lymecycline,-8.1
Cefaclor,-8.1
Maprotiline,-8.1
Tobramycin,-8.1
Penicillin G,-8.1
Clomifene,-8.1
Etodolac,-8.1
Naphazoline,-8.1
Moexipril,-8.1
Miconazole,-8.1
Clotiazepam,-8.1
Cephaloglycin,-8.1
Tiagabine,-8.1
Cloxazolam,-8.1
Cinitapride,-8.1
Isradipine,-8.1
Mitiglinide,-8.1
Nisoldipine,-8.1
Niclosamide,-8.1
Probucol,-8.1
Tafluprost,-8.1
Dobutamine,-8.1
Framycetin,-8.1
Ambenonium,-8.1
Omeprazole,-8.1
Olsalazine,-8.1
Methylnaltrexone,-8.1
Oxycodone,-8.1
Erlotinib,-8.0
Hydromorphone,-8.0
Dienestrol,-8.0
Ceftizoxime,-8.0
Cefradine,-8.0
Cefpodoxime,-8.0
Sufentanil,-8.0
Biperiden,-8.0
Frovatriptan,-8.0
Ampicillin,-8.0
Rabeprazole,-8.0
Oxaprozin,-8.0
Caspofungin,-8.0
Doxapram,-8.0
Econazole,-8.0
Letrozole,-8.0
Levallorphan,-8.0
Ridogrel,-8.0
Pentosan Polysulfate,-8.0
Pantoprazole,-8.0
Duloxetine,-8.0
Aceprometazine,-8.0
Zaleplon,-8.0
Anisindione,-8.0
Cefuroxime,-8.0
Tenoxicam,-8.0
Cyclandelate,-8.0
Modafinil,-8.0
Hydroxyzine,-8.0
Demecarium,-8.0
Propiomazine,-8.0
Phenprocoumon,-8.0
Lenalidomide,-8.0
Almotriptan,-8.0
Iohexol,-8.0
Nepafenac,-8.0
Nevirapine,-8.0
Naloxone,-8.0
Acetohexamide,-8.0
Adenosine triphosphate,-7.9
Voriconazole,-7.9
Agomelatine,-7.9
Vitamin E,-7.9
Neomycin,-7.9
Pravastatin,-7.9
Aztreonam,-7.9
Isopropamide,-7.9
Prazepam,-7.9
Bambuterol,-7.9
Quazepam,-7.9
Perhexiline,-7.9
Levobunolol,-7.9
Glycerol Phenylbutyrate,-7.9
Physostigmine,-7.9
Levosimendan,-7.9
Fenoprofen,-7.9
Rizatriptan,-7.9
Antazoline,-7.9
Mazindol,-7.9
Paromomycin,-7.9
Lubiprostone,-7.9
Mepivacaine,-7.9
Escitalopram,-7.9
Bromazepam,-7.9
Cefadroxil,-7.9
Cefdinir,-7.9
Methotrimeprazine,-7.9
Methantheline,-7.9
Meropenem,-7.9
Ruxolitinib,-7.9
Enoxacin,-7.9
Dimethindene,-7.9
Sulpiride,-7.9
Clomipramine,-7.9
Mirabegron,-7.9
Netilmicin,-7.9
Oxiconazole,-7.9
Desogestrel,-7.9
Methdilazine,-7.9
Lornoxicam,-7.8
Polymyxin B Sulfate,-7.8
Pentamidine,-7.8
Oxymorphone,-7.8
Penicillin V,-7.8
S-Adenosylmethionine,-7.8
Lumiracoxib,-7.8
Fenoterol,-7.8
Alfentanil,-7.8
Lisinopril,-7.8
Bupivacaine,-7.8
Fluoxetine,-7.8
Rifampin,-7.8
Reboxetine,-7.8
Leflunomide,-7.8
Phytonadione,-7.8
Kanamycin,-7.8
Latanoprost,-7.8
Phentolamine,-7.8
Trihexyphenidyl,-7.8
Polythiazide,-7.8
Quinacrine,-7.8
Promethazine,-7.8
Iodipamide,-7.8
Cefoxitin,-7.8
Meticillin,-7.8
Enalapril,-7.8
Cefalotin,-7.8
Nabumetone,-7.8
Mycophenolic acid,-7.8
Diphenidol,-7.8
Nitazoxanide,-7.8
Tetrabenazine,-7.8
Naproxen,-7.8
Xylometazoline,-7.8
Acepromazine,-7.8
Morphine,-7.8
Clemastine,-7.8
Desipramine,-7.8
Dipyridamole,-7.8
Tolazamide,-7.7
Cephapirin,-7.7
Terbinafine,-7.7
Clevidipine,-7.7
Amoxicillin,-7.7
Tolmetin,-7.7
Emedastine,-7.7
Dofetilide,-7.7
Oxybenzone,-7.7
Dextromethorphan,-7.7
Amdinocillin,-7.7
Diethylstilbestrol,-7.7
Dezocine,-7.7
Dibucaine,-7.7
Mitoxantrone,-7.7
Sulfadimethoxine,-7.7
Diloxanide,-7.7
Capecitabine,-7.7
Levomethadyl Acetate,-7.7
Hydrocodone,-7.7
Galantamine,-7.7
Flutamide,-7.7
Levorphanol,-7.7
Tolterodine,-7.7
Fesoterodine,-7.7
Ritodrine,-7.7
Progabide,-7.7
Trimeprazine,-7.7
Hydroflumethiazide,-7.7
Imiquimod,-7.7
Methadone,-7.7
Entecavir,-7.7
Alogliptin,-7.7
Hexachlorophene,-7.7
Aliskiren,-7.7
Hexobarbital,-7.7
Atropine,-7.6
Topiramate,-7.6
Ezogabine,-7.6
Ethylmorphine,-7.6
Proflavine,-7.6
Propranolol,-7.6
Hyoscyamine,-7.6
Adefovir Dipivoxil,-7.6
Ethopropazine,-7.6
Spectinomycin,-7.6
Atomoxetine,-7.6
Pemirolast,-7.6
Cyclacillin,-7.6
Abacavir,-7.6
Codeine,-7.6
Diphenylpyraline,-7.6
Methylphenobarbital,-7.6
Dinoprostone,-7.6
Tiaprofenic acid,-7.6
Sulfoxone,-7.6
Carteolol,-7.6
Clotrimazole,-7.6
Oxamniquine,-7.6
Suprofen,-7.6
Cefixime,-7.6
Citalopram,-7.5
Sulfamethazine,-7.5
Sulfisoxazole,-7.5
Methsuximide,-7.5
Oxymetazoline,-7.5
Entacapone,-7.5
Cocaine,-7.5
Cinacalcet,-7.5
Rotigotine,-7.5
Roxatidine acetate,-7.5
Metaxalone,-7.5
Aminoglutethimide,-7.5
Cefmetazole,-7.5
Dextrothyroxine,-7.5
Sulfaphenazole,-7.5
Mupirocin,-7.5
Cyclizine,-7.5
Chlorpromazine,-7.5
Orphenadrine,-7.5
Phenformin,-7.5
Perindopril,-7.5
Glycopyrrolate,-7.5
Heptabarbital,-7.5
Levobupivacaine,-7.5
Procyclidine,-7.5
Formoterol,-7.5
Bumetanide,-7.5
Isothipendyl,-7.5
Vildagliptin,-7.5
Trichlormethiazide,-7.5
Zidovudine,-7.5
Propafenone,-7.5
Procaterol,-7.5
Trimethoprim,-7.5
Trimethobenzamide,-7.5
Tirofiban,-7.5
Tiotropium,-7.5
Anagrelide,-7.5
Methoxsalen,-7.5
Methyclothiazide,-7.5
Clopidogrel,-7.5
Liothyronine,-7.5
Remifentanil,-7.5
Bimatoprost,-7.5
Bevantolol,-7.5
Ramelteon,-7.5
Tioconazole,-7.4
Primaquine,-7.4
Fludarabine,-7.4
Acebutolol,-7.4
Trifluridine,-7.4
Molindone,-7.4
Mitotane,-7.4
Nimodipine,-7.4
Cycrimine,-7.4
Misoprostol,-7.4
Ciclopirox,-7.4
Ticarcillin,-7.4
Clindamycin,-7.4
Sulfadoxine,-7.4
Cinoxacin,-7.4
Efavirenz,-7.4
Scopolamine,-7.4
Dihydrocodeine,-7.4
Brompheniramine,-7.4
Ropivacaine,-7.4
Salsalate,-7.4
Bepridil,-7.4
Aprindine,-7.4
Rifabutin,-7.4
Furosemide,-7.4
Levothyroxine,-7.4
Famciclovir,-7.4
Diclofenac,-7.4
Tacrine,-7.4
Sulfacytine,-7.4
Quinethazone,-7.3
Ioflupane I 123,-7.3
Promazine,-7.3
Phensuximide,-7.3
Zanamivir,-7.3
Benzyl Benzoate,-7.3
Lamotrigine,-7.3
Salmeterol,-7.3
Tropicamide,-7.3
Cabazitaxel,-7.3
Fluconazole,-7.3
Lincomycin,-7.3
Fluvoxamine,-7.3
Verapamil,-7.3
Dexbrompheniramine,-7.3
Mepyramine,-7.3
Epoprostenol,-7.3
Varenicline,-7.3
Venlafaxine,-7.3
Disopyramide,-7.3
Rufinamide,-7.3
Amisulpride,-7.3
Dipivefrin,-7.3
Sumatriptan,-7.3
Sulfametopyrazine,-7.3
Sulfamoxole,-7.3
Cilastatin,-7.3
Nifedipine,-7.3
Clofarabine,-7.3
Monobenzone,-7.2
Nadolol,-7.2
Nitrendipine,-7.2
Aspartame,-7.2
Metipranolol,-7.2
Oxyphenonium,-7.2
Menadione,-7.2
Methylphenidate,-7.2
Tramadol,-7.2
Dexmedetomidine,-7.2
Debrisoquin,-7.2
Ticlopidine,-7.2
Chlorpheniramine,-7.2
Meclofenamic acid,-7.2
Melatonin,-7.2
Cefacetrile,-7.2
