Drug_Name,Affinity_kcal_mol
Probenecid,-6.5
Aminophenazone,-6.5
Metoclopramide,-6.5
Methocarbamol,-6.5
Zonisamide,-6.5
Minoxidil,-6.5
Oxybuprocaine,-6.5
Thiabendazole,-6.5
Levomilnacipran,-6.4
Pentobarbital,-6.4
Phendimetrazine,-6.4
Midodrine,-6.4
Aminohippurate,-6.4
Methohexital,-6.4
Tizanidine,-6.4
Chloroxine,-6.4
Timolol,-6.4
Spaglumic Acid,-6.4
Dyphylline,-6.4
Ketamine,-6.4
Salbutamol,-6.4
Etomidate,-6.4
Clofibrate,-6.4
Mexiletine,-6.3
Nitrofurazone,-6.3
Azacitidine,-6.3
Methyldopa,-6.3
Butalbital,-6.3
Butethal,-6.3
Acyclovir,-6.3
Decitabine,-6.3
Lactulose,-6.3
Clenbuterol,-6.3
Colistin,-6.3
Melphalan,-6.3
Carisoprodol,-6.3
Chloroprocaine,-6.3
Memantine,-6.3
Secobarbital,-6.3
Icosapent ethyl,-6.3
Isoproterenol,-6.3
Droxidopa,-6.3
Sulfacetamide,-6.3
Isoetharine,-6.3
Ganciclovir,-6.3
Guanethidine,-6.3
Acetylsalicylic acid,-6.3
Rasagiline,-6.2
Metyrosine,-6.2
Famotidine,-6.2
Apraclonidine,-6.2
Roxithromycin,-6.2
Ibandronate,-6.2
Butabarbital,-6.2
Pramipexole,-6.2
Talbutal,-6.2
Pirbuterol,-6.2
Crotamiton,-6.2
Cerulenin,-6.2
Tapentadol,-6.2
Temozolomide,-6.2
Clarithromycin,-6.2
Terbutaline,-6.2
Lofexidine,-6.2
Lamivudine,-6.2
Chlorphenesin,-6.2
Procainamide,-6.1
Propofol,-6.1
Oxprenolol,-6.1
Degarelix,-6.1
Diethylpropion,-6.1
Azithromycin,-6.1
Alprenolol,-6.1
Lomustine,-6.1
Procaine,-6.1
Glutathione,-6.1
Selegiline,-6.1
Antipyrine,-6.1
Baclofen,-6.1
Cidofovir,-6.1
Streptozocin,-6.0
Benzonatate,-6.0
Tolazoline,-6.0
Levodopa,-6.0
Levonordefrin,-6.0
Thiamylal,-6.0
Pilocarpine,-6.0
Tinidazole,-6.0
Erythrityl Tetranitrate,-6.0
Enprofylline,-6.0
Caffeine,-6.0
Isosorbide Dinitrate,-6.0
L-Phenylalanine,-6.0
Orciprenaline,-6.0
Aprobarbital,-6.0
Neostigmine,-6.0
Cimetidine,-6.0
L-Tyrosine,-6.0
Clonidine,-6.0
Metharbital,-5.9
Methoxamine,-5.9
Meprobamate,-5.9
Voglibose,-5.9
Mephentermine,-5.9
Mimosine,-5.9
Nizatidine,-5.9
Thiopental,-5.9
Chlorzoxazone,-5.9
Bretylium,-5.8
Haloprogin,-5.8
Benzocaine,-5.8
Clavulanate,-5.8
Theophylline,-5.8
Pentolinium,-5.8
Acetaminophen,-5.8
Docosanol,-5.8
Epinephrine,-5.8
Nonoxynol-9,-5.8
Zoledronate,-5.8
Methazolamide,-5.8
Cyanocobalamin,-5.7
Pipobroman,-5.7
Phentermine,-5.7
Nicotine,-5.7
Theobromine,-5.7
Phenelzine,-5.7
Pargyline,-5.7
Biotin,-5.7
Rimantadine,-5.7
Ranitidine,-5.7
Pseudoephedrine,-5.7
Guaifenesin,-5.7
Metaraminol,-5.7
Methyprylon,-5.7
Acetazolamide,-5.6
Menthol,-5.6
Miglustat,-5.6
Methamphetamine,-5.6
Ethionamide,-5.6
Pyridoxal,-5.6
Tranylcypromine,-5.6
Diethylcarbamazine,-5.6
Ephedrine,-5.6
Phenylpropanolamine,-5.6
Malathion,-5.5
Edrophonium,-5.5
Ethinamate,-5.5
Isoniazid,-5.5
Dopamine,-5.5
Polidocanol,-5.5
Pyridoxine,-5.5
Sodium Tetradecyl Sulfate,-5.5
Carglumic Acid,-5.5
Nitroglycerin,-5.5
Amphetamine,-5.5
Phenylephrine,-5.5
Norepinephrine,-5.5
Dextroamphetamine,-5.4
Succinylcholine,-5.4
Salicylamide,-5.4
Gabapentin,-5.4
Azelaic Acid,-5.4
Propylthiouracil,-5.4
Pregabalin,-5.4
Aminosalicylic Acid,-5.4
Uracil mustard,-5.4
L-Arginine,-5.4
Pyridostigmine,-5.4
Tranexamic Acid,-5.3
Isosorbide Mononitrate,-5.3
Decamethonium,-5.3
Isoflurophate,-5.3
Captopril,-5.3
Carbimazole,-5.3
Mesalazine,-5.3
Thioguanine,-5.3
Levetiracetam,-5.3
Propylhexedrine,-5.3
Ifosfamide,-5.3
Amantadine,-5.3
Ethambutol,-5.2
Edetic Acid,-5.2
Cevimeline,-5.2
Pralidoxime,-5.2
Mecamylamine,-5.2
Cyclophosphamide,-5.2
L-Histidine,-5.2
Everolimus,-5.2
Salicyclic acid,-5.2
Altretamine,-5.1
Clodronate,-5.1
Dacarbazine,-5.1
Busulfan,-5.1
Sulfanilamide,-5.1
Isoflurane,-5.1
L-Citrulline,-5.1
Alendronate,-5.1
Spermine,-5.0
L-Glutamic Acid,-5.0
Hydroxocobalamin,-5.0
N-Acetyl-D-glucosamine,-5.0
Allopurinol,-5.0
L-Glutamine,-5.0
Deferiprone,-5.0
Metformin,-5.0
Ethosuximide,-4.9
Miglitol,-4.9
Pamidronate,-4.9
Mercaptopurine,-4.9
Desflurane,-4.9
L-Cystine,-4.9
Disulfiram,-4.9
Isometheptene,-4.9
Enflurane,-4.9
Echothiophate,-4.9
Vitamin C,-4.9
Etidronic acid,-4.9
Metronidazole,-4.9
Lindane,-4.9
Lipoic Acid,-4.9
Acamprosate,-4.8
Niacin,-4.8
Adenine,-4.8
Perflutren,-4.8
Paramethadione,-4.8
Sevoflurane,-4.8
Glucosamine,-4.8
Betahistine,-4.8
Benzyl alcohol,-4.7
Hydroxyproline,-4.7
L-Isoleucine,-4.7
Valproic Acid,-4.7
Carmustine,-4.6
Creatine,-4.6
L-Leucine,-4.6
L-Aspartic Acid,-4.6
L-Proline,-4.6
L-Asparagine,-4.6
Bethanechol,-4.6
Fluorouracil,-4.6
Mannitol,-4.6
L-Lysine,-4.6
Flucytosine,-4.6
Vigabatrin,-4.6
Pyrazinamide,-4.6
Aminocaproic Acid,-4.5
Ethchlorvynol,-4.5
L-Serine,-4.5
Succinic acid,-4.5
Betazole,-4.5
Trimethadione,-4.5
L-Ornithine,-4.5
Methyl aminolevulinate,-4.4
Methacholine,-4.4
Chlormerodrin,-4.4
Phenol,-4.4
Acetylcysteine,-4.4
L-Valine,-4.4
Aminolevulinic acid,-4.4
Hydroxyurea,-4.4
Amifostine,-4.3
Nitroprusside,-4.3
Amyl Nitrite,-4.3
L-Methionine,-4.2
Cycloserine,-4.2
L-Threonine,-4.2
L-Alanine,-4.1
Acetohydroxamic Acid,-4.1
Gamma Hydroxybutyric Acid,-4.1
Pyruvic acid,-4.1
L-Carnitine,-4.1
Fosfomycin,-4.0
Penicillamine,-4.0
Foscarnet,-4.0
Glycine,-4.0
Succimer,-4.0
Methoxyflurane,-4.0
Thiotepa,-3.9
L-Cysteine,-3.8
Halothane,-3.7
Dalfampridine,-3.7
Guanidine,-3.7
Candicidin,-3.6
Mechlorethamine,-3.6
Methimazole,-3.5
Fomepizole,-3.5
Piperazine,-3.3
Choline,-3.1
Nitric Oxide,-3.0
Vancomycin,-2.8
Acetic acid,-2.8
Dimercaprol,-2.8
Ethanol,-2.5
Cysteamine,-2.5
Dimethyl sulfoxide,-2.4
Bacitracin,-2.3
Magnesium oxide,-2.1
Iron,-1.3
Selenium Sulfide,-1.2
Zinc,-1.2
Colistimethate,-1.0
Dactinomycin,-0.8
Anidulafungin,6.3
Cyclosporine,11.8
Amphotericin B,14.2
Linaclotide,83.4
